                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4793,                 3.7947,                 2.8131,                0.08809,                0.25107,                0.08109,                 0.0388,                 1.9972,                 6.6797,                 1.3747,               0.003323,               0.003323,               0.003323
                      2,                 2.0954,                 2.0041,                 1.3438,                0.43792,                0.34112,                0.21083,                0.05557,                 2.7407,                 1.9445,                 1.7645,              0.0065246,              0.0065246,              0.0065246
                      3,                 1.7487,                 1.7571,                 1.1713,                0.39988,                0.28885,                0.27376,                0.14537,                 1.7141,                 2.2615,                 1.2127,              0.0095941,              0.0095941,              0.0095941
                      4,                 1.5939,                 1.5881,                 1.1042,                0.43912,                 0.4568,                0.43722,                0.25778,                 1.4964,                 1.3894,                 1.1152,               0.009406,               0.009406,               0.009406
                      5,                  1.493,                 1.4691,                 1.0671,                0.60061,                0.44389,                0.47203,                0.27891,                  1.532,                 1.3248,                 1.1244,               0.009406,               0.009406,               0.009406
                      6,                  1.433,                 1.3841,                 1.0473,                0.46351,                0.52183,                0.51563,                0.31549,                 1.4494,                 1.2299,                 1.0746,               0.009208,               0.009208,               0.009208
                      7,                  1.393,                 1.3327,                 1.0341,                0.62415,                0.32382,                0.31846,                0.14976,                 2.3808,                 1.5783,                 1.5598,                0.00901,                0.00901,                0.00901
                      8,                 1.3606,                 1.2971,                 1.0253,                0.74308,                0.46008,                0.52589,                0.33655,                 1.4157,                 1.1721,                 1.0701,               0.008812,               0.008812,               0.008812
                      9,                 1.3413,                 1.2647,                  1.018,                0.58674,                 0.5032,                0.58487,                0.38666,                 1.2642,                 1.0818,                 1.0076,               0.008614,               0.008614,               0.008614
                     10,                 1.3204,                 1.2364,                 1.0128,                0.47447,                0.48632,                 0.5492,                0.32235,                 1.6348,                 1.2176,                 1.1302,               0.008416,               0.008416,               0.008416
                     11,                 1.3009,                 1.2178,                 1.0058,                0.64037,                0.51528,                0.58629,                0.37461,                 1.3645,                 1.0923,                 1.0418,               0.008218,               0.008218,               0.008218
                     12,                 1.2885,                 1.2016,                 1.0017,                0.50871,                0.48243,                0.56521,                0.32197,                  1.678,                 1.1451,                 1.1418,                0.00802,                0.00802,                0.00802
                     13,                 1.2773,                 1.1804,                0.99708,                0.51189,                0.62185,                0.61111,                0.38805,                 1.4073,                 1.0398,                 1.0508,               0.007822,               0.007822,               0.007822
                     14,                  1.261,                 1.1692,                0.99488,                0.62195,                 0.5314,                0.62559,                0.40654,                 1.3357,                 1.0089,                 1.0255,               0.007624,               0.007624,               0.007624
                     15,                 1.2516,                 1.1531,                0.98977,                0.55077,                0.61776,                0.63147,                0.41904,                 1.2688,                0.99443,                 1.0042,               0.007426,               0.007426,               0.007426
                     16,                 1.2448,                 1.1503,                0.98912,                 0.5617,                0.63492,                0.64568,                0.43762,                 1.2035,                0.95529,                0.98715,               0.007228,               0.007228,               0.007228
                     17,                 1.2369,                 1.1344,                0.98621,                0.53082,                0.64067,                0.63734,                 0.4207,                 1.2906,                0.97213,                 1.0137,                0.00703,                0.00703,                0.00703
                     18,                 1.2251,                 1.1289,                0.98312,                 0.6393,                0.56759,                 0.6386,                0.40721,                 1.3674,                0.99714,                 1.0357,               0.006832,               0.006832,               0.006832
                     19,                 1.2185,                 1.1151,                0.98099,                0.53721,                0.63588,                0.63207,                0.40297,                 1.3757,                0.98488,                 1.0388,               0.006634,               0.006634,               0.006634
                     20,                 1.2168,                 1.1078,                0.98015,                0.50567,                0.62984,                0.61137,                0.37706,                  1.464,                 1.0131,                 1.0714,               0.006436,               0.006436,               0.006436
                     21,                 1.2042,                 1.0972,                0.97795,                0.57022,                0.62713,                0.64564,                0.42381,                 1.3077,                0.96211,                 1.0208,               0.006238,               0.006238,               0.006238
                     22,                 1.2049,                 1.0917,                 0.9752,                0.58289,                0.65993,                0.67659,                0.46202,                 1.1712,                  0.903,                0.97799,                0.00604,                0.00604,                0.00604
                     23,                 1.1939,                 1.0793,                0.97409,                0.57308,                0.64877,                0.66469,                0.43028,                 1.3346,                0.92853,                 1.0241,               0.005842,               0.005842,               0.005842
                     24,                 1.1929,                 1.0825,                0.97503,                0.56006,                0.63341,                0.65019,                0.41468,                 1.4014,                0.95846,                 1.0525,               0.005644,               0.005644,               0.005644
                     25,                 1.1875,                 1.0729,                0.97194,                 0.5571,                0.64834,                0.65649,                0.41646,                 1.3965,                0.95151,                 1.0465,               0.005446,               0.005446,               0.005446
                     26,                 1.1739,                 1.0641,                0.96882,                 0.5492,                0.66297,                0.66574,                0.42373,                 1.3817,                0.93576,                 1.0385,               0.005248,               0.005248,               0.005248
                     27,                 1.1753,                 1.0591,                0.96976,                0.57429,                0.64224,                0.65759,                0.40768,                 1.4497,                0.94533,                 1.0634,                0.00505,                0.00505,                0.00505
                     28,                  1.169,                 1.0514,                0.96703,                0.55477,                0.65708,                0.66119,                0.41734,                 1.4163,                0.93787,                 1.0492,               0.004852,               0.004852,               0.004852
                     29,                 1.1623,                 1.0496,                0.96575,                0.56667,                 0.6569,                0.66635,                0.41632,                 1.4354,                0.93782,                 1.0536,               0.004654,               0.004654,               0.004654
                     30,                 1.1632,                 1.0429,                0.96548,                0.58521,                0.65898,                0.67912,                0.43751,                 1.3544,                0.91175,                 1.0286,               0.004456,               0.004456,               0.004456
                     31,                 1.1599,                 1.0438,                0.96364,                0.58137,                0.66309,                0.68065,                0.43399,                 1.3637,                 0.9138,                 1.0311,               0.004258,               0.004258,               0.004258
                     32,                 1.1492,                 1.0305,                0.96171,                0.57567,                0.65817,                0.67372,                0.42124,                 1.4321,                0.92423,                 1.0551,                0.00406,                0.00406,                0.00406
                     33,                 1.1449,                 1.0247,                 0.9598,                0.58785,                0.66075,                0.68004,                 0.4254,                 1.4331,                 0.9172,                 1.0529,               0.003862,               0.003862,               0.003862
                     34,                 1.1452,                 1.0259,                0.96166,                 0.5852,                0.66349,                 0.6813,                0.43006,                 1.4018,                0.91039,                 1.0422,               0.003664,               0.003664,               0.003664
                     35,                 1.1409,                 1.0181,                0.95969,                0.59032,                0.65622,                0.68016,                0.42969,                 1.3981,                0.91074,                 1.0418,               0.003466,               0.003466,               0.003466
                     36,                  1.142,                 1.0218,                 0.9598,                0.59271,                0.66723,                0.68739,                0.43941,                 1.3658,                0.89799,                 1.0305,               0.003268,               0.003268,               0.003268
                     37,                 1.1372,                 1.0112,                0.95705,                0.59514,                0.66291,                0.68348,                0.43494,                 1.3873,                0.90205,                 1.0389,                0.00307,                0.00307,                0.00307
                     38,                 1.1337,                 1.0094,                0.95736,                0.59413,                0.66081,                0.68089,                0.43086,                 1.4148,                0.90737,                 1.0487,               0.002872,               0.002872,               0.002872
                     39,                 1.1292,                 1.0013,                0.95561,                0.60081,                0.65845,                0.68284,                0.43211,                 1.4138,                0.90478,                 1.0479,               0.002674,               0.002674,               0.002674
                     40,                 1.1203,                0.99478,                0.95361,                 0.6011,                0.66239,                0.68449,                 0.4309,                 1.4149,                0.90391,                 1.0469,               0.002476,               0.002476,               0.002476
                     41,                 1.0886,                0.92602,                0.96618,                0.59521,                0.66917,                0.68733,                0.42151,                  1.485,                0.91193,                 1.0646,               0.002278,               0.002278,               0.002278
                     42,                 1.0604,                0.90831,                0.95946,                0.59787,                0.67544,                0.69323,                0.42229,                 1.5073,                0.90873,                  1.067,                0.00208,                0.00208,                0.00208
                     43,                 1.0542,                0.90703,                0.95714,                0.60569,                0.67502,                0.69758,                0.42886,                 1.4957,                0.90088,                 1.0598,               0.001882,               0.001882,               0.001882
                     44,                 1.0498,                0.90136,                0.95766,                0.60751,                0.67616,                0.70021,                0.43239,                 1.4932,                0.89659,                 1.0566,               0.001684,               0.001684,               0.001684
                     45,                 1.0396,                0.89501,                0.95358,                0.60827,                0.67629,                0.70225,                0.43527,                 1.4881,                0.89307,                 1.0535,               0.001486,               0.001486,               0.001486
                     46,                 1.0352,                0.88943,                 0.9518,                0.60757,                0.67733,                  0.704,                0.43764,                  1.482,                 0.8896,                 1.0502,               0.001288,               0.001288,               0.001288
                     47,                 1.0335,                0.88673,                0.95257,                0.60861,                0.67896,                0.70533,                0.43994,                 1.4754,                0.88597,                 1.0474,                0.00109,                0.00109,                0.00109
                     48,                 1.0255,                 0.8771,                0.95062,                0.60773,                0.68288,                0.70598,                 0.4407,                 1.4748,                0.88393,                 1.0467,               0.000892,               0.000892,               0.000892
                     49,                 1.0236,                0.87581,                0.95148,                0.61273,                0.67985,                0.70671,                0.44144,                 1.4737,                0.88261,                  1.046,               0.000694,               0.000694,               0.000694
                     50,                 1.0194,                 0.8712,                0.94905,                0.61399,                0.68063,                0.70731,                0.44262,                 1.4688,                0.88077,                 1.0443,               0.000496,               0.000496,               0.000496
